tem,glnonfil,temnorth,temsouth,,,
-0.265,-0.167,-0.311,-0.22,,,
-0.236,-0.218,-0.242,-0.229,,,
-0.159,-0.131,-0.021,-0.298,,,
-0.397,-0.418,-0.59,-0.204,,,
-0.55,-0.543,-0.839,-0.262,,,
-0.394,-0.081,-0.477,-0.311,,,
-0.45,-0.185,-0.64,-0.26,,,
-0.194,-0.131,-0.359,-0.029,,,
-0.338,-0.169,-0.465,-0.211,,,
-0.325,-0.276,-0.303,-0.347,,,
-0.381,-0.333,-0.302,-0.459,,,
-0.315,-0.274,-0.307,-0.322,,,
-0.107,-0.14,-0.18,-0.034,,,
-0.297,-0.237,-0.325,-0.269,,,
-0.391,-0.409,-0.42,-0.361,,,
-0.281,-0.424,-0.345,-0.216,,,
-0.317,-0.304,-0.484,-0.151,,,
-0.215,-0.386,-0.234,-0.195,,,
-0.225,-0.253,-0.32,-0.129,,,
-0.248,-0.22,-0.379,-0.117,,,
-0.063,-0.16,-0.042,-0.083,,,
-0.122,-0.051,-0.148,-0.096,,,
-0.399,-0.235,-0.378,-0.42,,,
-0.194,-0.125,-0.187,-0.201,,,
-0.138,-0.117,-0.077,-0.199,,,
-0.301,-0.241,-0.28,-0.322,,,
-0.231,-0.272,-0.34,-0.121,,,
-0.381,-0.326,-0.608,-0.154,,,
-0.271,-0.137,-0.415,-0.127,,,
-0.025,0.101,0.099,-0.15,,,
-0.117,-0.023,-0.164,-0.07,,,
-0.177,-0.066,-0.241,-0.113,,,
-0.315,-0.296,-0.431,-0.198,,,
-0.326,-0.389,-0.414,-0.238,,,
-0.392,-0.318,-0.447,-0.338,,,
-0.341,-0.216,-0.417,-0.265,,,
-0.245,-0.223,-0.241,-0.249,,,
-0.15,-0.149,-0.195,-0.106,,,
-0.399,-0.336,-0.573,-0.226,,,
-0.404,-0.314,-0.574,-0.233,,,
-0.655,-0.494,-0.879,-0.431,,,
-0.473,-0.414,-0.769,-0.177,,,
-0.485,-0.326,-0.802,-0.169,,,
-0.266,-0.363,-0.398,-0.135,,,
-0.439,-0.394,-0.431,-0.447,,,
-0.34,-0.259,-0.378,-0.302,,,
-0.19,-0.138,-0.242,-0.139,,,
-0.219,-0.218,-0.227,-0.21,,,
-0.288,-0.232,-0.273,-0.303,,,
-0.306,-0.284,-0.299,-0.313,,,
-0.34,-0.393,-0.33,-0.35,,,
-0.396,-0.331,-0.62,-0.172,,,
-0.415,-0.342,-0.356,-0.473,,,
-0.444,-0.412,-0.535,-0.352,,,
-0.333,-0.231,-0.468,-0.197,,,
-0.505,-0.478,-0.833,-0.178,,,
-0.509,-0.523,-0.741,-0.277,,,
